City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Awbari,LY,26.5921,12.7805,75.0,20,0,15.86,clear sky
155,Gornja Tuzla,BA,44.5561,18.7614,52.65,100,100,2.3,mist
156,Klaksvik,FO,62.2266,-6.589,45.52,90,100,20.94,light rain
157,Cayenne,GF,4.9333,-52.3333,81.09,1,100,7.0,overcast clouds
158,Shingu,JP,33.7333,135.9833,69.71,67,13,4.03,few clouds
159,Wajima,JP,37.4,136.9,61.48,31,0,6.91,clear sky
160,Hofn,IS,64.2539,-15.2082,44.8,90,100,7.31,overcast clouds
161,La Ronge,CA,55.1001,-105.2842,44.85,81,100,3.44,overcast clouds
162,Bilma,NE,18.6853,12.9164,94.98,12,100,15.01,overcast clouds
163,Atlantic City,US,39.3643,-74.4229,46.02,92,100,20.71,overcast clouds
164,Mao,ES,39.8885,4.2658,66.76,48,0,13.8,clear sky
165,Castro,BR,-24.7911,-50.0119,47.68,93,100,7.11,overcast clouds
166,Portland,US,45.5234,-122.6762,45.19,87,100,7.0,light rain
167,Wattegama,LK,6.7989,81.4808,88.92,58,100,4.79,overcast clouds
168,Skibbereen,IE,51.55,-9.2667,53.11,89,74,7.83,broken clouds
169,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.62,98,100,0.36,overcast clouds
170,Znamenskoye,RU,57.1281,73.8282,47.88,78,100,4.18,overcast clouds
171,Shepsi,RU,44.0361,39.1489,56.35,68,89,4.34,overcast clouds
172,Butaritari,KI,3.0707,172.7902,82.18,77,77,15.93,broken clouds
173,Montepuez,MZ,-13.1256,38.9997,77.5,54,38,5.95,scattered clouds
174,Hambantota,LK,6.1241,81.1185,91.74,70,75,13.8,broken clouds
175,Vila Velha,BR,-20.3297,-40.2925,73.35,78,40,8.05,scattered clouds
176,Nome,US,64.5011,-165.4064,32.07,93,100,16.11,mist
177,Ada,US,43.4166,-116.1262,40.91,89,40,4.61,scattered clouds
178,Magistralnyy,RU,56.1725,107.4458,48.43,33,100,11.03,overcast clouds
179,Palu,ID,-0.8917,119.8707,82.44,91,99,2.66,overcast clouds
180,Bengkulu,ID,-3.8004,102.2655,85.84,62,92,7.14,overcast clouds
181,Beihai,CN,21.4833,109.1,78.55,80,100,10.96,overcast clouds
182,Altay,CN,47.8667,88.1167,60.8,44,62,14.83,broken clouds
183,Bambous Virieux,MU,-20.3428,57.7575,83.21,74,40,9.22,scattered clouds
184,Logrono,ES,42.4667,-2.45,53.1,76,0,10.36,clear sky
185,Caxito,AO,-8.5785,13.6643,76.44,87,85,3.69,overcast clouds
186,Kavieng,PG,-2.5744,150.7967,84.02,74,86,18.28,overcast clouds
187,Rothenbach,DE,47.6167,9.9833,54.75,81,99,1.99,overcast clouds
188,Nemuro,JP,43.3236,145.575,44.83,76,55,8.03,broken clouds
189,Lorengau,PG,-2.0226,147.2712,84.2,73,34,15.37,scattered clouds
190,Remontnoye,RU,46.5614,43.6501,57.16,43,99,11.99,overcast clouds
191,Ilulissat,GL,69.2167,-51.1,21.22,73,24,0.0,few clouds
192,Lata,PT,40.1629,-8.3327,69.03,38,92,2.53,overcast clouds
193,San Patricio,US,28.017,-97.5169,80.49,92,0,14.97,clear sky
194,Olafsvik,IS,64.8945,-23.7142,43.03,93,100,13.31,overcast clouds
