City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Lubango,AO,71.13,scattered clouds,-14.9172,13.4925,
322,Abha,SA,79.05,clear sky,18.2164,42.5053,
323,Port Moresby,PG,85.42,haze,-9.4431,147.1797,
324,Anadyr,RU,34.3,light shower snow,64.75,177.4833,
325,Kurumkan,RU,56.73,overcast clouds,54.3,110.3,
326,Rosita,NI,72.64,overcast clouds,13.9268,-84.4032,
327,Huarmey,PE,65.57,broken clouds,-10.0681,-78.1522,
328,Bulancak,TR,53.42,broken clouds,40.9372,38.2291,
329,Bayeux,BR,74.03,clear sky,-7.125,-34.9322,
330,Haines Junction,CA,35.55,overcast clouds,60.7522,-137.5108,
331,Etaples,FR,59.16,overcast clouds,50.5219,1.6332,
332,Rio Grande,BR,59.02,clear sky,-32.035,-52.0986,
333,Houma,US,75.0,mist,29.5958,-90.7195,
334,Oudtshoorn,ZA,57.56,overcast clouds,-33.5907,22.2014,
335,Mingshui,CN,51.8,heavy intensity rain,36.7167,117.5,
336,Tyukhtet,RU,40.87,overcast clouds,56.5389,89.3011,
337,Biak,ID,82.24,overcast clouds,-0.9131,122.8766,
338,Lahaina,US,75.81,overcast clouds,20.8783,-156.6825,
339,Gueret,FR,56.7,few clouds,46.1667,1.8667,
341,Amapa,BR,71.62,overcast clouds,1.0,-52.0,
342,Elban,RU,47.43,overcast clouds,50.1018,136.5094,
343,Peniche,PT,62.94,scattered clouds,39.3558,-9.3811,
344,Estelle,US,78.8,clear sky,29.8458,-90.1067,
345,Severo-Kurilsk,RU,42.24,overcast clouds,50.6789,156.125,
347,Surt,LY,69.42,scattered clouds,31.2089,16.5887,
348,Korla,CN,75.06,scattered clouds,41.7597,86.1469,
349,Fairbanks,US,42.8,overcast clouds,64.8378,-147.7164,
350,Mitsamiouli,KM,86.29,few clouds,-11.3847,43.2844,
351,Atar,MR,88.66,overcast clouds,20.5169,-13.0499,
352,Pemangkat,ID,84.83,light rain,1.1667,108.9667,
353,Phan Thiet,VN,86.65,overcast clouds,10.9333,108.1,
354,Zarate,AR,54.84,few clouds,-34.0981,-59.0286,
355,Chernyshevskiy,RU,35.83,overcast clouds,63.0128,112.4714,
356,Bol,TD,81.75,broken clouds,13.4586,14.7147,
